iter	Passed	Remaining
428	507	675
429	509	675
430	510	674
431	512	673
432	513	672
433	514	671
434	516	670
435	517	669
436	518	668
437	520	667
438	521	666
439	523	666
440	525	666
441	527	665
442	528	664
443	530	664
444	531	663
445	533	662
446	534	661
447	535	660
448	538	660
449	539	659
450	541	659
451	542	658
452	544	657
453	545	656
454	547	655
455	548	654
456	549	653
457	550	651
458	552	650
459	554	651
460	556	650
461	557	649
462	559	648
463	560	647
464	561	646
465	563	645
466	564	644
467	565	643
468	567	642
469	569	642
470	571	641
471	572	640
472	574	639
473	575	638
474	576	637
475	577	636
476	579	635
477	580	634
478	581	632
479	584	632
480	585	632
481	587	630
482	588	629
483	589	628
484	591	627
485	592	626
486	594	625
487	595	624
488	596	623
489	598	623
490	600	622
491	602	621
492	603	620
493	604	619
494	606	618
495	607	617
496	608	615
497	609	614
498	611	613
499	612	612
500	615	612
501	616	611
502	618	610
503	619	609
504	621	608
505	622	607
506	623	606
507	624	604
508	625	603
509	626	602
510	629	602
511	631	601
512	633	601
513	634	600
514	636	599
515	637	597
516	638	596
517	639	595
518	640	593
519	641	592
520	643	592
521	646	591
522	648	591
523	649	589
524	650	588
525	652	587
526	653	586
527	654	584
528	655	583
529	656	582
530	657	580
531	660	580
532	662	580
533	663	578
534	664	577
535	665	576
536	667	575
537	668	573
538	669	572
539	670	571
540	671	569
541	673	568
542	676	569
543	677	568
544	679	566
545	680	565
546	681	564
547	682	562
548	683	561
549	684	560
550	685	558
551	687	557
552	689	557
553	691	556
554	692	555
555	694	554
556	695	553
557	696	551
558	697	550
559	698	549
560	700	547
561	701	546
562	702	545
563	703	544
564	706	543
565	707	542
566	708	541
567	710	540
568	711	538
569	712	537
570	713	536
571	714	534
572	715	533
573	717	532
574	718	531
575	721	530
576	722	529
577	723	528
578	725	527
579	726	525
580	727	524
581	728	523
582	729	521
583	730	520
584	731	519
585	733	517
586	735	517
587	736	516
588	738	515
589	739	513
590	740	512
591	741	511
592	743	509
593	744	508
594	745	507
595	746	506
596	747	504
597	750	504
598	751	503
599	753	502
600	755	501
601	756	500
602	757	498
603	758	497
604	759	496
605	761	495
606	763	494
607	765	493
608	767	492
609	768	491
610	770	490
611	771	489
612	772	487
613	773	486
614	775	485
615	776	484
616	777	482
617	778	481
618	781	481
619	783	480
620	784	479
621	786	477
622	787	476
623	788	475
624	789	473
625	790	472
626	792	471
627	793	469
628	795	468
629	797	468
630	798	466
631	799	465
632	801	464
633	802	463
634	803	461
635	804	460
636	805	459
637	806	457
638	808	456
639	809	455
640	811	454
641	813	453
642	814	452
643	815	450
644	817	449
645	818	448
646	819	447
647	820	445
648	822	444
649	823	443
650	824	441
651	826	440
652	827	439
653	829	438
654	830	437
655	831	436
656	833	434
657	834	433
658	835	432
659	837	431
660	838	430
661	840	429
662	842	428
663	843	427
664	845	425
665	846	424
666	847	423
667	848	421
668	850	420
669	851	419
670	852	418
671	853	416
672	855	415
673	857	414
674	858	413
675	859	412
676	861	411
677	862	409
678	864	408
679	865	407
680	866	405
681	867	404
682	868	403
683	870	401
684	872	401
685	873	399
686	874	398
687	876	397
688	877	396
689	879	394
690	880	393
691	882	392
692	883	391
693	884	389
694	885	388
695	887	387
696	889	386
697	890	385
698	891	384
699	893	382
700	894	381
701	895	380
702	896	378
703	898	377
704	899	376
705	901	375
706	903	374
707	904	373
708	905	371
709	907	370
710	908	369
711	909	367
712	911	366
713	912	365
714	914	364
715	916	363
716	918	362
717	920	361
718	921	360
719	922	358
720	924	357
721	925	356
722	927	355
723	928	354
724	930	352
725	931	351
726	933	350
727	935	349
728	936	348
729	938	347
730	939	345
731	940	344
732	942	343
733	943	341
734	944	340
735	946	339
736	948	338
737	949	337
738	950	335
739	952	334
740	953	333
741	954	332
742	957	331
743	958	329
744	960	328
745	963	327
746	964	326
747	965	325
748	966	324
749	968	322
750	969	321
751	971	320
752	972	319
753	973	317
754	975	316
755	977	315
756	979	314
757	980	313
758	982	311
759	983	310
760	985	309
761	986	308
762	988	307
763	990	305
764	992	304
765	994	303
766	996	302
767	997	301
768	999	300
769	1000	298
770	1002	297
771	1004	296
772	1006	295
773	1008	294
774	1010	293
775	1011	291
776	1013	290
777	1014	289
778	1016	288
779	1018	287
780	1019	285
781	1021	284
782	1023	283
783	1025	282
784	1027	281
785	1028	280
786	1030	278
787	1031	277
788	1033	276
789	1034	274
790	1036	273
791	1038	272
792	1039	271
793	1040	270
794	1042	268
795	1044	267
796	1045	266
797	1047	265
798	1048	263
799	1050	262
800	1052	261
801	1053	260
802	1055	258
803	1057	257
804	1058	256
805	1060	255
806	1061	253
807	1063	252
808	1065	251
809	1067	250
810	1069	249
811	1070	247
812	1072	246
813	1073	245
814	1075	244
815	1076	242
816	1077	241
817	1079	240
818	1081	238
819	1083	237
820	1084	236
821	1086	235
822	1087	233
823	1088	232
824	1090	231
825	1091	229
826	1092	228
827	1094	227
828	1095	225
829	1097	224
830	1098	223
831	1100	222
832	1101	220
833	1103	219
834	1104	218
835	1105	216
836	1107	215
837	1108	214
838	1109	212
839	1111	211
840	1113	210
841	1114	209
842	1116	207
843	1118	206
844	1119	205
845	1121	204
846	1122	202
847	1124	201
848	1125	200
849	1127	199
850	1129	197
851	1130	196
852	1132	195
853	1134	193
854	1135	192
855	1136	191
856	1138	189
857	1140	188
858	1142	187
859	1143	186
860	1145	184
861	1147	183
862	1148	182
863	1150	181
864	1151	179
865	1153	178
866	1154	177
867	1156	175
868	1158	174
869	1160	173
870	1161	172
871	1163	170
872	1165	169
873	1166	168
874	1168	166
875	1169	165
876	1171	164
877	1173	163
878	1175	161
879	1177	160
880	1179	159
881	1180	157
882	1182	156
883	1183	155
884	1185	154
885	1186	152
886	1188	151
887	1190	150
888	1191	148
889	1193	147
890	1194	146
891	1195	144
892	1196	143
893	1198	142
894	1199	140
895	1200	139
896	1202	138
897	1203	136
898	1205	135
899	1206	134
900	1208	132
901	1209	131
902	1211	130
903	1212	128
904	1214	127
905	1216	126
906	1218	124
907	1219	123
908	1221	122
909	1222	120
910	1223	119
911	1224	118
912	1226	116
913	1227	115
914	1228	114
915	1229	112
916	1230	111
917	1231	110
918	1233	108
919	1235	107
920	1236	106
921	1237	104
922	1239	103
923	1240	102
924	1241	100
925	1242	99
926	1243	97
927	1244	96
928	1245	95
929	1247	93
930	1248	92
931	1250	91
932	1251	89
933	1252	88
934	1253	87
935	1254	85
936	1255	84
937	1257	83
938	1258	81
939	1259	80
940	1260	79
941	1261	77
942	1263	76
943	1265	75
944	1266	73
945	1268	72
946	1269	71
947	1270	69
948	1271	68
949	1272	66
950	1273	65
951	1274	64
952	1276	62
953	1277	61
954	1279	60
955	1281	58
956	1282	57
957	1283	56
958	1285	54
959	1286	53
960	1287	52
961	1288	50
962	1289	49
963	1290	48
964	1291	46
965	1292	45
966	1294	44
967	1295	42
968	1297	41
969	1298	40
970	1299	38
971	1300	37
972	1301	36
973	1302	34
974	1303	33
975	1304	32
976	1306	30
977	1307	29
978	1308	28
979	1310	26
980	1311	25
981	1312	24
982	1313	22
983	1314	21
984	1316	20
985	1317	18
986	1318	17
987	1319	16
988	1320	14
989	1322	13
990	1324	12
991	1325	10
992	1327	9
993	1328	8
994	1329	6
995	1330	5
996	1332	4
997	1333	2
998	1334	1
999	1335	0
